股票简称,股票代码,最新价,涨跌幅,PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
平安银行,1,24.54,3.24,15.61,16.46,1.57,5.5977,3.03,-10.42,银行
万科A,2,26.33,-1.27,7.36,7.37,1.36,1.0557,0.71,4.19,房地产
国华网安,4,16.26,-3.79,41.22,41.53,1.84,0.0226,9.13,1616.67,软件服务
深振业A,6,5.25,-0.94,7.04,8.2,0.93,0.8841,2.21,18.17,房地产
中国宝安,9,10.19,1.9,32.37,39.72,3.71,0.2541,2.06,33.67,综合行业
南玻A,12,10.2,-0.29,25.23,40.19,2.9,0.5141,2.62,10.16,玻璃陶瓷
深康佳A,16,6.21,-0.64,19.39,31.31,1.76,0.1222,0.29,21.97,家电行业
*ST中华A,17,3.35,4.04,443.33,487.88,172.72,1.6604,13.83,378.37,文教休闲
深粮控股,19,7.9,2.46,19.87,22.48,1.92,1.4775,0.72,-38.98,食品饮料
深华发A,20,9.26,-0.86,204.89,383.89,7.67,8.2896,3.3,56.19,电子元件
深科技,21,17.41,0.29,27.84,31.7,3.5,0.1186,1.76,10.05,电子信息
飞亚达,26,14,0.14,14.34,20.73,2.09,0.3391,1.21,11.87,珠宝首饰
深圳能源,27,10.83,-1.99,12.14,12.93,1.89,0.0882,2.28,8.65,电力行业
国药一致,28,39.23,0.05,11.33,11.98,1.18,1.0305,0.27,8.91,医药制造
富奥股份,30,6.66,-1.62,12.04,13.38,1.61,11.1534,0.99,17.93,汽车行业
深桑达A,32,19.83,-0.6,140.75,142.54,13.27,10.6133,13.4,-226.17,电子信息
深南电A,37,8.9,-1.22,82.57,83.79,2.63,1.1861,6.36,26.85,电力行业
中集集团,39,15.04,-1.18,7.21,10.11,1.32,0.0088,0.5,3.09,金属制品
中洲控股,42,8.63,-0.92,24.83,20.39,0.74,0.0561,0.48,11.61,房地产
深纺织A,45,8.65,-0.69,51.02,117.57,1.56,0.4325,1.92,390.22,电子元件
德赛电池,49,45.62,8,18.1,20.47,4.62,0.4307,0.67,10.95,电子元件
深天马A,50,13.99,1.23,20.32,23.32,1.01,0.1818,1.11,4.81,电子元件
方大集团,55,4.39,0.23,13.01,12.34,0.86,1.407,1.47,10.15,装修装饰
华锦股份,59,6.98,-8.64,6.4,34.41,0.79,0.0275,0.35,2.19,石油行业
中金岭南,60,4.75,-0.63,15.29,17.04,1.42,0.7706,0.51,12.73,有色金属
农产品,61,5.77,-0.86,29.15,31.05,1.79,23.3706,2.92,12,农牧饲渔
北方国际,65,7.69,-1.79,7.74,7.88,1.07,1.1681,0.45,-4.64,工程建设
华侨城A,69,8.71,1.75,5.6,5.63,0.91,1.83,0.85,2.31,房地产
盐田港,88,5.42,-1.45,26.44,31.12,1.41,3.0563,20.99,37.68,港口水运
天健集团,90,5.86,-0.17,7.67,7.37,1.17,0.6029,0.65,3.75,工程建设
广聚能源,96,9.27,-0.11,34.86,37.63,1.72,9.0594,3.91,80.38,石油行业
中信海直,99,6.6,-0.45,17.46,18.32,1.14,4.7684,2.54,8.38,民航机场
TCL科技,100,7.7,-2.65,16.92,24.62,3.09,0.1178,1.13,4.82,电子元件
丰原药业,153,8.65,-1.93,24.63,26.03,1.87,0.6442,0.78,8.46,医药制造
华数传媒,156,7.7,0,17.34,16.91,1.04,0.4079,1.84,6.78,文化传媒
中联重科,157,10.25,-1.91,10.25,12.21,1.6,0.1392,1.18,9.1,机械行业
常山北明,158,9.34,-3.81,134.03,147.39,2.52,68.8092,1.48,20.59,综合行业
国际实业,159,6.3,-1.25,20.13,34.14,1.35,0.1256,4.39,-43.45,石油行业
申万宏源,166,4.73,1.5,14.43,15.25,1.31,0.3939,3.9,-2.77,券商信托
美的集团,333,77.73,-0.26,18.96,20.12,4.66,1.395,1.76,17.99,家电行业
